EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	15:49:52	0	0.1000	1.434530851249934	0.6019213795661926	0.8173	0.8173	0.8173	0.8173
2	15:50:51	0	0.1000	0.654039959571219	0.366698294878006	0.8807	0.8807	0.8807	0.8807
3	15:51:48	0	0.1000	0.520740862894408	0.30400601029396057	0.898	0.898	0.898	0.898
4	15:52:46	1	0.1000	0.47183696242962836	0.32718971371650696	0.8867	0.8867	0.8867	0.8867
5	15:53:26	0	0.1000	0.44519814952104475	0.27849557995796204	0.905	0.905	0.905	0.905
6	15:54:23	0	0.1000	0.4243022352304377	0.2557109296321869	0.9149	0.9149	0.9149	0.9149
7	15:55:19	0	0.1000	0.41101335890004587	0.25018325448036194	0.9162	0.9162	0.9162	0.9162
8	15:56:16	0	0.1000	0.3979702266306815	0.24203816056251526	0.9205	0.9205	0.9205	0.9205
9	15:57:15	0	0.1000	0.3857149224433541	0.23911811411380768	0.9226	0.9226	0.9226	0.9226
10	15:58:13	1	0.1000	0.3811704903654151	0.23544906079769135	0.9206	0.9206	0.9206	0.9206